activity_label,ax1,ay1,az1,gx1,gy1,gz1,mx1,my1,mz1,ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,ax3,ay3,az3,gx3,gy3,gz3,mx3,my3,mz3
1,1.55011,9.54334,0.39042,0.04168,0.00867,-0.02551,16.9634,-35.84571,-23.78142,-1.09175,9.28951,0.05746,-0.02045,0.07448,0.02252,24.3988,-21.79871,-27.69928,-1.03403,-7.76135,6.43141,-0.1744,-0.14404,0.25786,-21.03859,12.8441,-43.03601
1,1.60042,9.48345,0.57008,0.05872,-0.00518,-0.02338,17.07765,-35.92126,-23.45506,-1.0726,9.67258,0.01915,-0.00127,-0.02032,0.00441,24.3988,-23.98529,-28.13721,-0.64597,-7.97694,6.06251,-0.14244,-0.07054,0.15879,-22.2401,14.3306,-43.375
1,1.67707,9.50022,0.73297,0.1141,0.05766,-0.01167,17.53359,-35.99484,-23.15529,-1.30244,9.69173,-0.26816,0.05945,-0.06506,-0.04884,25.52338,-22.17255,-28.51257,-1.29275,-7.69907,5.80859,-0.22873,0.15849,0.03096,-22.43179,15.17929,-42.50385
1,1.56928,9.49543,0.45749,0.13327,0.13114,-0.01806,17.50697,-35.76792,-23.58623,0,9.67258,-0.65123,0.14893,-0.06081,-0.01582,25.14801,-23.98529,-29.76227,-1.44606,-7.632,5.63612,-0.31715,0.02747,0.04801,-21.50841,15.4301,-43.38074
1,1.5046,9.67988,0.30178,0.24616,0.21208,-0.07024,17.67031,-35.9,-23.1375,0.51715,9.92157,-0.26816,0.20113,0.2428,-0.08293,24.02344,-21.79871,-27.69928,-1.87245,-7.33496,5.55467,-0.46735,0.22561,0.03522,-22.00789,16.01479,-42.80627
1,1.86392,9.60083,0.51977,0.2206,0.28237,-0.0958,17.82824,-36.44691,-22.46184,0.03831,9.5385,-0.34477,0.20538,0.64867,-0.17349,25.52338,-23.98529,-27.26135,-2.04493,-7.70386,5.50197,-0.50144,-0.17387,0.01818,-21.8567,16.5551,-41.48071
1,2.20648,9.7757,0.55091,0.23338,0.46768,-0.13627,18.14155,-36.76692,-21.83061,0.19154,9.48103,-0.34477,0.17236,0.88408,-0.12236,26.58539,-25.04883,-27.26135,-1.86287,-7.78052,5.49718,-0.50037,-0.23246,0.00114,-21.87561,16.9778,-41.19177
1,2.55862,9.61041,0.31615,0.29728,0.68707,-0.11604,18.62086,-36.4473,-20.67091,-1.26414,10.20888,0.21069,0.05412,0.91605,-0.1362,27.71149,-24.67346,-26.01166,-0.98613,-8.59977,5.83254,-0.34058,-0.44977,-0.31844,-22.11589,18.8168,-39.89325
1,2.38135,9.32055,0.11254,0.33136,0.83937,-0.11284,19.6991,-36.72599,-19.82777,-1.26414,10.20888,0.21069,0.05412,0.91605,-0.1362,27.71149,-24.67346,-26.01166,-0.29623,-8.37459,4.94143,-0.16375,-0.27294,-0.51232,-24.79701,18.65991,-39.34216
1,2.68079,9.081,-0.1318,0.4336,0.94374,-0.14053,20.32001,-37.34824,-18.17557,-1.26414,10.20888,0.21069,0.05412,0.91605,-0.1362,27.71149,-24.67346,-26.01166,-0.79449,-9.01658,4.92226,-0.11688,-0.21754,-0.61033,-23.069,16.0235,-39.86414
1,2.38135,9.23432,-0.44322,0.41549,0.93628,-0.18526,21.43766,-37.38429,-16.45183,-1.26414,10.20888,0.21069,0.05412,0.91605,-0.1362,27.71149,-24.67346,-26.01166,-0.82802,-9.03095,5.13306,-0.09664,-0.1238,-0.66252,-26.1983,18.2981,-38.9151
1,1.71301,9.36846,-0.42405,0.37396,0.80103,-0.22893,22.30653,-37.00661,-15.07356,-0.03831,9.88327,-0.01915,-0.26439,0.08194,-0.42809,28.7735,-20.29877,-26.88751,-1.77184,-8.71475,4.6396,-0.05722,-0.13658,-0.6295,-26.13889,17.5688,-37.86676
1,1.86871,9.29899,-0.60132,0.29834,0.63169,-0.28963,23.66518,-37.55355,-12.96719,0.01915,10.17056,1.0726,-0.47638,0.24599,-0.47922,29.89807,-19.6106,-27.69928,-1.74789,-8.02006,4.50066,-0.07853,-0.16215,-0.37703,-27.4187,15.0695,-37.40369
1,2.08191,9.62239,-0.63486,0.20782,0.52732,-0.36205,24.24143,-37.42247,-11.50098,-0.59377,10.72603,2.04944,-0.72032,0.59114,-0.61557,32.08618,-20.67261,-27.69928,-2.0066,-8.23566,4.82644,-0.11475,-0.41249,-0.23109,-28.0316,14.53909,-37.84906
