activity_label,ax1,ay1,az1,gx1,gy1,gz1,mx1,my1,mz1,ax2,ay2,az2,gx2,gy2,gz2,mx2,my2,mz2,ax3,ay3,az3,gx3,gy3,gz3,mx3,my3,mz3
1,1.49262,9.67748,1.52588,-0.04352,0.04807,-0.02551,19.92994,-31.69197,-19.44478,0.32561,8.73405,3.98395,-0.00121,0.0555,-0.04321,9.50012,-14.89716,-38.75732,1.57225,9.32799,3.34604,0.01841,0.20856,-0.02976,13.23079,-27.18536,-30.68567
1,1.43273,9.50261,1.00127,0.00334,0.04594,-0.01699,20.32258,-31.55811,-19.41115,0.70868,8.69574,4.21379,0.00093,-0.05104,-0.01338,9.87396,-14.52179,-36.69586,1.31833,9.18426,3.14003,-0.04337,-0.01514,0.02031,14.54031,-24.84778,-29.96198
1,1.41596,9.79007,1.10427,0.01612,0.11197,-0.06066,20.67426,-31.33163,-18.88472,0.5363,8.67659,4.04141,0.00839,0.01501,-0.00912,8.37402,-14.89716,-38.75732,1.35186,9.24655,2.98672,-0.01035,0.06795,-0.01058,14.49171,-26.42638,-28.75385
1,1.40159,9.57208,1.26238,0.02464,0.10345,-0.07663,20.79426,-31.70707,-19.04988,0.72784,8.71489,4.02226,0.01691,0.02992,0.00259,10.18677,-15.20844,-38.00812,1.15543,9.28487,3.02983,0.01415,0.14891,0.02244,14.68881,-27.55048,-30.21246
1,1.33212,9.43075,1.15218,0.04061,0.10878,-0.07663,20.56676,-31.85983,-18.71721,0.57462,8.77235,4.04141,0.02011,0.06827,-0.01764,9.12476,-13.77106,-37.50763,1.23209,9.4286,3.14961,0.00456,0.12334,0.02031,14.00299,-26.79836,-30.67938
1,1.22672,9.32774,1.17135,0.01505,0.1141,-0.0777,20.86271,-31.55618,-19.01048,0.498,8.7532,3.9265,0.03181,0.07573,-0.02722,9.87396,-15.20844,-38.38348,0.93505,9.32799,3.02025,0.00882,0.07434,-0.01804,14.44312,-25.97729,-30.09344
1,1.12611,9.53136,1.16656,0.01931,0.10558,-0.0958,21.08846,-30.97112,-19.07771,0.57462,8.71489,3.86903,0.04674,0.03951,-0.0219,9.50012,-15.5838,-38.75732,1.32791,9.3759,3.07295,0.0248,0.01681,-0.0468,17.25652,-25.66916,-31.68066
1,1.01831,9.58645,1.11625,0.03103,0.04275,-0.10645,21.69308,-31.42097,-18.57436,0.51715,8.86812,3.94565,0.04248,0.07787,-0.0251,10.9375,-14.89716,-38.38348,1.11711,9.41423,3.00588,0.02906,0.07114,-0.04148,12.19402,-24.89998,-28.07538
1,1.1309,9.85715,1.17135,0.01079,0.04275,-0.08941,21.61895,-31.7422,-18.28496,0.498,8.77235,3.81157,0.0659,0.08852,-0.0155,11.31287,-15.20844,-36.69586,1.20813,9.40944,2.98672,0.0312,0.06795,-0.00739,16.17381,-26.18246,-31.68994
1,0.93926,9.65113,1.15218,-0.03607,0.05446,-0.0532,21.17135,-31.53846,-17.94942,0.40222,8.86812,3.71581,0.09787,0.13007,-0.02296,10.56213,-15.5838,-36.69586,1.0644,9.56754,3.1544,0.04611,0.21176,-0.01165,14.1974,-24.40407,-29.97455
1,1.05664,9.47387,1.13781,-0.06163,0.07044,-0.04575,21.43079,-31.51759,-18.17973,0.42139,8.84897,3.81157,0.12131,0.12686,-0.0219,9.87396,-15.95917,-37.50763,1.07399,9.45735,2.91964,-0.00183,0.08925,0.0054,14.51332,-27.12207,-29.7782
1,0.82907,9.49543,1.1953,-0.0563,0.03103,-0.02658,21.2882,-31.21851,-17.6653,0.13408,8.77235,3.71581,0.13622,0.21954,-0.05066,11.31287,-16.33453,-37.57019,1.23688,9.29446,3.049,-0.02739,0.09777,0.00859,16.4492,-27.51147,-29.29681
1,0.62066,9.57927,1.57619,-0.08399,-0.08079,-0.06279,21.90713,-31.23308,-17.98393,-0.07661,8.77235,3.71581,0.09148,0.15669,-0.03043,12.06207,-16.7099,-35.88257,0.88235,9.17947,2.84778,-0.02739,0.04664,-0.04467,15.68782,-25.74509,-30.81689
1,0.62066,9.68467,1.65524,-0.13298,-0.31829,-0.17035,22.6587,-30.70211,-17.85524,0.05746,9.11713,3.88818,0.02011,0.10982,-0.03575,12.06207,-13.77106,-37.94556,0.70029,9.18906,3.03942,-0.01248,0.20217,-0.0255,15.10461,-26.16656,-29.19202
1,0.75241,9.57927,1.95468,-0.16706,-0.26184,-0.30241,22.61059,-30.62658,-18.03923,-0.11493,8.77235,3.48596,0.01265,-0.00949,-0.06345,10.9375,-16.7099,-36.69586,0.57573,9.57233,2.75196,0.00882,0.26822,-0.07769,15.8714,-25.91008,-29.92352
1,0.89614,9.60083,2.22297,-0.22138,-0.27995,-0.36205,22.36396,-30.62627,-18.6707,-0.03831,9.09796,3.4285,0.00307,-0.23213,-0.00699,10.9375,-17.08374,-35.88257,0.84402,9.65378,3.10649,-0.03805,-0.08012,-0.06598,16.80292,-25.80179,-30.79803
1,0.62784,9.0283,2.17267,-0.2054,-0.34704,-0.32904,22.31858,-29.51261,-19.84227,0.15323,8.7532,4.06056,0.04674,-0.38872,0.058,11.68671,-17.08374,-36.25793,0.76737,9.26092,2.98672,-0.01994,0.03812,-0.07237,16.87851,-23.84128,-29.20038
1,1.05185,8.85343,1.31268,0.03422,-0.22244,-0.32158,22.72958,-28.62294,-20.7957,1.05345,8.84897,3.79242,0.0723,-0.07127,0.01431,10.9375,-16.7099,-37.13379,0.99254,8.87764,3.22626,-0.06681,-0.09823,-0.03402,16.83261,-26.0988,-30.05298
1,0.69252,9.43314,0.95815,0.40484,0.00973,-0.15544,22.71603,-28.88572,-21.12285,0.32561,8.7915,3.48596,0.09148,0.12686,-0.01871,10.56213,-17.77191,-37.94556,1.13627,9.00221,3.2071,-0.04018,-0.03006,-0.03828,15.69052,-25.34158,-29.34363
1,0.08167,9.65832,1.41569,0.4943,0.10345,-0.10326,23.04382,-28.3754,-21.19164,0.30646,8.86812,3.44765,0.0723,0.10236,-0.00912,11.31287,-16.33453,-36.69586,0.85839,9.28967,3.12565,-0.05509,-0.03006,-0.05426,16.95142,-25.66498,-30.9458
1,-0.28484,9.73018,1.22165,0.29834,0.0534,-0.09793,23.6117,-28.619,-20.44209,0.13408,8.4276,2.77727,0.17883,0.02567,0.00899,11.68671,-17.39655,-37.13379,0.82007,10.11371,3.19273,-0.18079,-0.29105,-0.01378,17.13499,-25.82999,-30.05237
1,-0.34952,9.82121,1.1953,0.15244,-0.00305,-0.11284,23.91587,-29.24166,-19.29707,0.17238,8.29352,2.33675,0.47177,-0.15756,0.04308,11.68671,-17.39655,-37.13379,0.67155,9.87416,3.15919,-0.28412,-0.30063,-0.00952,16.1846,-25.92146,-30.21423
1,-0.34712,9.74695,1.18333,0.06724,-0.02648,-0.12456,23.94241,-29.73194,-18.9474,0.65123,10.01733,3.44765,0.60812,0.05869,0.1006,12.06207,-19.58466,-36.69586,0.70508,9.71127,3.17356,-0.34271,-0.32194,-0.05639,15.94162,-24.62128,-30.83069
1,-0.56032,9.45949,1.27196,0.02357,-0.0563,-0.18739,23.93893,-29.33757,-18.57927,-0.17238,10.11311,3.84988,0.59108,0.33139,0.09209,11.68671,-20.70923,-35.44617,0.15891,8.39855,3.80597,-0.20529,-0.07267,-0.18529,15.87682,-24.02248,-32.61688
1,-0.52679,9.49063,1.34143,-0.02861,-0.13617,-0.1597,24.5057,-29.23973,-18.79472,-1.26414,9.71088,3.06458,0.11278,0.11407,-0.06664,12.06207,-21.8338,-35.44617,0.93026,8.59977,3.70536,0.01522,-0.27613,-0.26199,15.6257,-22.44449,-32.79407
1,-0.5172,9.01872,1.19051,0.0289,-0.16599,-0.07557,24.44289,-28.99456,-19.08153,0.55545,9.84496,4.11803,-0.2281,-0.65291,-0.0741,12.37488,-21.45844,-35.44617,0.90151,8.68121,3.69578,0.18459,-0.04604,-0.34721,13.79781,-23.36876,-31.32916
1,-0.85257,9.54094,0.95096,0.08108,-0.18942,0.03945,24.2219,-28.63824,-19.01711,0.99599,8.7915,2.70065,-0.01932,-0.75198,0.03349,10.9375,-21.45844,-35.0708,0.50865,8.82494,3.52809,0.31669,0.03599,-0.34827,15.8714,-25.91008,-29.92352
1,-0.69208,10.11346,1.06116,0.0289,-0.17451,0.05543,24.00199,-28.48863,-19.09566,2.18352,8.50421,2.75812,-0.05659,-0.3131,0.1283,8.00018,-19.9585,-35.44617,0.15891,9.43819,2.95797,0.27834,-0.05562,-0.21511,16.136,-25.20177,-30.67041
1,-0.35671,9.99369,1.45402,-0.02329,-0.07121,0.14169,23.8216,-28.65761,-19.64577,1.64722,8.67659,2.83473,0.06271,0.26642,-0.08156,8.74939,-20.70923,-35.88257,-0.28665,9.52921,2.84299,0.0525,-0.64684,-0.20233,15.52852,-22.62688,-29.83337
1,-0.55314,9.25827,1.3031,-0.06163,0.01399,0.2237,23.74953,-28.8656,-19.4593,0.90022,8.98305,2.6815,0.30986,0.59665,-0.16891,8.74939,-19.64722,-35.44617,-0.28665,9.52921,2.84299,0.0525,-0.64684,-0.20233,15.52852,-22.62688,-29.83337
1,-0.63219,9.23192,1.3558,-0.07334,0.0715,0.23222,23.12368,-29.30069,-19.98024,-0.22984,8.7532,3.12204,0.32051,0.74579,-0.13483,11.31287,-21.8338,-35.0708,-0.20041,8.6908,4.32818,-0.26282,-1.31263,-0.3781,12.89061,-21.60628,-32.11169
1,-0.53158,9.49303,1.11146,-0.07334,0.13114,0.245,22.85159,-28.92583,-19.91493,-2.04944,9.80666,2.85388,0.04781,0.46774,-0.14973,14.25018,-22.14661,-34.19495,0.15891,8.59498,5.29596,-0.41409,-0.95044,-0.41538,12.14,-22.82428,-33.58411
1,-0.01654,10.72911,1.34862,-0.1202,0.12369,0.26204,22.91311,-29.3029,-19.58675,-0.76614,8.94473,3.4285,-0.18976,-0.39511,-0.02936,13.87482,-22.14661,-33.38318,0.111,8.60935,5.4876,-0.71662,-0.96216,-0.29714,10.68202,-22.59448,-34.49915
1,0.2781,10.11346,1.21447,-0.10955,0.0289,0.38345,22.59061,-29.24794,-19.68373,0.22984,8.61913,2.29843,-0.2281,-0.69658,0.01645,10.9375,-19.9585,-34.19495,0.4847,8.54707,5.99544,-0.85723,-0.95044,-0.15972,8.29521,-20.04178,-35.61407
1,0.62784,9.60801,1.28394,-0.01051,-0.11913,0.43883,22.19884,-29.56974,-19.83992,0.95769,9.09796,1.78128,-0.09601,-0.7605,-0.03894,9.87396,-21.45844,-35.44617,1.16501,8.92076,5.33908,-0.83913,-0.25696,0.02883,7.05861,-17.84758,-35.66901
1,0.78116,9.14808,0.90784,0.08215,-0.27356,0.42072,21.46247,-30.23264,-19.88646,1.22583,8.54251,2.9305,0.06697,-0.034,-0.10818,9.87396,-21.8338,-34.63287,1.07399,7.90029,4.424,-0.69105,-0.31768,0.21845,6.96411,-16.81647,-37.75848
1,1.14288,8.91332,0.84556,0.13433,-0.36728,0.38877,20.32098,-30.84054,-20.21315,0.22984,8.12114,1.97282,0.41531,0.31435,-0.14973,10.18677,-20.70923,-34.63287,1.58662,7.40682,4.1078,-0.47587,-0.0226,0.29195,5.47101,-15.87897,-38.3894
1,1.41596,9.15047,0.6108,0.17693,-0.42372,0.35363,19.69437,-30.82433,-20.53026,-0.17238,8.29352,2.16435,0.55273,0.2451,0.04414,9.87396,-22.89734,-34.63287,1.40935,7.29663,3.6287,-0.08492,0.39285,0.36759,6.96681,-14.24998,-38.39117
1,1.51897,9.47147,0.38323,0.22379,-0.40029,0.34724,18.30042,-31.2637,-21.03755,0.15323,8.73405,1.87706,0.64967,0.06721,0.34029,10.18677,-23.27118,-33.38318,1.50517,7.93862,3.53288,0.30816,0.27248,0.35693,5.903,-15.18597,-38.68939
1,2.0867,10.06795,0.22513,0.14179,-0.36089,0.33659,16.97985,-32.21268,-20.90883,-1.24498,12.14339,2.71982,0.09894,0.67015,0.22737,10.9375,-23.64655,-32.94525,1.5962,8.82015,3.76764,0.49458,0.1063,0.26212,6.99921,-14.81999,-38.38159
1,2.33105,9.97453,0.34969,0.10558,-0.3545,0.33339,16.39011,-31.91668,-20.16081,-0.97684,10.80264,1.28329,0.68057,-0.22148,0.06119,11.68671,-25.83466,-30.88379,1.02608,9.44298,3.54247,0.57235,-0.24204,0.22804,6.14871,-16.35329,-37.48309
1,2.57778,9.60562,0.18201,0.11836,-0.34385,0.3302,15.69775,-33.16374,-19.91933,0.26816,9.88327,1.16837,0.43129,-0.37167,0.01752,10.18677,-27.6474,-31.69556,1.14585,9.5388,3.71973,0.49991,-0.28998,0.28023,4.82571,-18.27298,-37.62183
1,2.76224,9.20078,0.16763,0.08641,-0.248,0.29612,14.91845,-33.50561,-20.41728,0.45969,9.13628,0.67038,0.31198,-0.43559,0.10167,9.50012,-27.27203,-32.13348,1.04045,9.30883,3.57121,0.39552,-0.45936,0.33563,6.50511,-19.10727,-35.06592
1,2.90117,9.35888,0.07181,0.07043,-0.17771,0.25139,13.6078,-33.56868,-20.66048,1.64722,9.04051,0.28731,0.29814,-0.82761,0.10486,7.31201,-27.6474,-30.88379,1.14585,8.95909,3.71494,0.35077,-0.42634,0.32817,4.47472,-20.52628,-37.73956
1,3.0497,9.30858,-0.08629,0.03635,-0.16067,0.23861,13.09232,-34.24933,-20.64937,2.33675,9.02135,0.15323,0.28217,-0.19591,0.1741,6.93665,-28.39661,-30.88379,1.31833,8.83453,3.67182,0.31669,-0.37414,0.31645,2.61711,-20.74767,-35.69446
1,3.00897,9.44752,0.09337,0.01079,-0.11381,0.20453,12.84284,-34.51289,-21.17747,0.55545,9.74919,-0.30646,0.38336,0.30051,0.06226,6.93665,-28.39661,-29.63257,1.7016,9.22259,3.74369,0.30284,-0.27081,0.17051,1.9124,-22.54767,-36.41705
1,3.00897,9.28941,0.26585,-0.02222,-0.09144,0.16512,11.77348,-35.2168,-20.64366,0.28731,9.84496,-0.498,0.55913,0.20676,0.06972,6.93665,-28.39661,-28.8208,2.05134,9.50526,3.76764,0.3316,-0.25483,0.02031,-1.32489,-21.25768,-35.75
1,3.05928,9.19599,0.19878,-0.02755,-0.09677,0.12252,11.89287,-34.93401,-20.54402,0.86191,10.20888,-0.21069,0.69762,0.12686,0.11765,6.93665,-31.64673,-27.94495,2.12321,9.62982,3.4706,0.29538,-0.22926,-0.06172,-0.61479,-22.84319,-36.60107
1,3.23175,9.33253,0.26825,-0.00731,-0.08931,0.09803,11.52518,-34.46439,-20.90807,0.67038,9.59596,-0.38307,0.70613,0.08745,0.058,6.56281,-32.7713,-27.13318,2.15674,9.60108,3.4179,0.27088,-0.23778,-0.08302,1.13211,-22.79218,-36.42572
1,3.32757,9.44512,0.34969,-0.03607,-0.17132,0.06714,10.81229,-35.31716,-20.29811,0.91937,9.55765,-0.82361,0.70613,0.01288,0.00366,7.31201,-33.52203,-25.07019,2.2861,9.01658,3.03463,0.13133,-0.12274,-0.08622,-1.53819,-23.09398,-35.72418
1,3.2581,9.04028,0.35448,0.05978,0.03423,0.02667,10.65983,-35.14851,-20.31642,0.88107,9.73004,-0.88107,0.63583,0.06401,-0.00806,7.31201,-33.83484,-24.63379,2.6023,9.08365,3.00109,0.07381,-0.19198,-0.0958,-1.4464,-24.79919,-35.99146
1,3.2054,9.19599,0.22752,0.05978,0.10345,0.03732,10.50497,-34.35651,-21.11589,0.498,9.5385,-1.28329,0.55913,0.01181,-0.02829,8.00018,-35.70862,-23.38257,2.5496,8.9016,2.86694,0.04504,-0.16854,-0.12776,-1.18179,-23.68498,-35.41309
1,3.10958,9.20317,0.29699,0.06724,0.1141,0.04691,10.67393,-34.33707,-20.99586,0.80446,9.61511,-1.14922,0.46326,-0.09258,-0.0155,7.31201,-36.39679,-23.38257,2.81789,9.14594,2.7855,0.01841,-0.11847,-0.11817,-1.50308,-23.39578,-34.68304
1,2.33584,8.6043,0.1317,0.27491,-0.07121,0.245,9.81136,-34.58804,-20.44652,0.72784,9.57681,-1.58975,0.42917,-0.17674,0.01219,6.93665,-37.146,-22.13287,2.59751,9.24176,2.59386,-0.02526,-0.17919,-0.08302,-1.6516,-23.53258,-34.53528
1,1.89746,6.83882,-1.40381,0.66577,-0.54939,0.25884,9.60241,-34.68399,-20.1964,1.18753,9.57681,-1.6089,0.28322,-0.19058,0.07823,6.56281,-36.77216,-20.44525,2.71249,9.24176,2.61781,-0.06042,-0.19091,-0.03721,-1.47879,-23.14677,-32.4671
1,5.10983,8.24737,-2.14881,0.80315,-0.86144,0.20453,8.65899,-36.10459,-19.72485,1.45567,9.57681,-1.28329,0.21611,-0.01482,0.0303,5.81207,-37.146,-20.44525,2.73645,9.25613,2.61781,-0.06894,-0.13871,0.03948,-1.84329,-23.08978,-34.98932
1,5.73745,11.88853,-1.37986,0.24722,-0.5856,0.22796,7.16202,-36.64482,-17.91222,0.80446,9.48103,-2.08774,0.23422,0.12047,0.02391,6.56281,-37.52136,-20.44525,2.58314,9.20822,2.61781,-0.03698,-0.05136,0.05972,-2.53181,-21.79408,-33.83734
1,5.24637,9.38523,-2.44346,0.17161,-0.4184,0.13637,7.33409,-37.83172,-17.25546,0.57462,9.57681,-2.06859,0.149,-0.01695,0.02177,7.31201,-38.20953,-20.06989,2.62147,9.15073,2.57948,-0.02207,-0.03006,0.08849,-0.8821,-23.27846,-35.11877
1,5.10024,8.8151,-2.47221,0.29621,-0.10848,0.03093,6.82819,-38.19389,-16.6301,0.76614,9.76834,-2.1069,-0.00333,-0.04784,0.01645,6.18744,-38.20953,-19.19556,2.59751,9.06449,2.63698,0.01309,-0.00556,0.11725,-3.20679,-21.59277,-35.47913
1,4.80799,8.978,-2.05539,-0.02755,0.23551,-0.12243,5.78102,-38.78391,-16.40469,2.04944,10.78348,-2.26013,-0.09282,-0.30457,-0.0006,6.56281,-37.52136,-21.32111,2.50648,8.22607,2.53637,0.06209,0.08819,0.21738,-3.2554,-23.44196,-35.15442
1,4.82716,8.68335,-1.56671,-0.29593,0.27811,-0.08941,6.0094,-38.51813,-16.75821,2.04944,12.02847,-3.83072,-0.68936,0.59984,-0.23921,7.31201,-36.77216,-21.32111,2.58793,8.38417,2.34952,0.04185,0.2011,0.28876,-2.12138,-23.51546,-34.09918
1,4.68343,8.71449,-2.05299,-0.51106,0.18972,-0.12243,6.22037,-38.44061,-17.15192,-1.97282,3.44765,15.26543,-3.01376,-0.25876,0.36586,8.00018,-33.52203,-25.44556,1.92678,8.74829,1.81293,-0.12646,-0.01301,0.42831,-2.30768,-23.07748,-34.2572
